Heure;Event;Fichier
16h33m57s;START ENCODER;0008.h264
16h33m57s;START MOTEUR; 
16h34m07s;START AWB ALGO; 
16h34m07s;END AWB ALGO; 
16h34m16s;START AWB ALGO; 
16h34m16s;END AWB ALGO; 
16h34m26s;START AWB ALGO; 
16h34m26s;END AWB ALGO; 
16h34m35s;START AWB ALGO; 
16h34m36s;END AWB ALGO; 
16h34m45s;START AWB ALGO; 
16h34m47s;END AWB ALGO; 
16h34m56s;START AWB ALGO; 
16h34m57s;END AWB ALGO; 
16h35m06s;START AWB ALGO; 
16h35m06s;END AWB ALGO; 
16h35m16s;START AWB ALGO; 
16h35m16s;END AWB ALGO; 
16h35m25s;START AWB ALGO; 
16h35m25s;END AWB ALGO; 
16h35m35s;START AWB ALGO; 
16h35m35s;END AWB ALGO; 
16h35m44s;START AWB ALGO; 
16h35m45s;END AWB ALGO; 
16h35m54s;START AWB ALGO; 
16h35m54s;END AWB ALGO; 
16h36m03s;START AWB ALGO; 
16h36m04s;END AWB ALGO; 
16h36m13s;START AWB ALGO; 
16h36m13s;END AWB ALGO; 
16h36m23s;START AWB ALGO; 
16h36m23s;END AWB ALGO; 
16h36m32s;START AWB ALGO; 
16h36m32s;END AWB ALGO; 
16h36m42s;START AWB ALGO; 
16h36m42s;END AWB ALGO; 
16h36m51s;START AWB ALGO; 
16h36m51s;END AWB ALGO; 
16h37m01s;START AWB ALGO; 
16h37m01s;END AWB ALGO; 
16h37m10s;START AWB ALGO; 
16h37m10s;END AWB ALGO; 
16h37m20s;START AWB ALGO; 
16h37m20s;END AWB ALGO; 
16h37m29s;START AWB ALGO; 
16h37m29s;END AWB ALGO; 
16h37m39s;START AWB ALGO; 
16h37m39s;END AWB ALGO; 
16h37m48s;START AWB ALGO; 
16h37m49s;END AWB ALGO; 
16h37m58s;START AWB ALGO; 
16h37m58s;END AWB ALGO; 
16h38m08s;START AWB ALGO; 
16h38m08s;END AWB ALGO; 
16h38m17s;START AWB ALGO; 
16h38m17s;END AWB ALGO; 
16h38m27s;START AWB ALGO; 
16h38m27s;END AWB ALGO; 
16h38m36s;START AWB ALGO; 
16h38m36s;END AWB ALGO; 
16h38m46s;START AWB ALGO; 
16h38m46s;END AWB ALGO; 
16h38m55s;START AWB ALGO; 
16h38m55s;END AWB ALGO; 
16h39m05s;START AWB ALGO; 
16h39m05s;END AWB ALGO; 
16h39m14s;START AWB ALGO; 
16h39m16s;END AWB ALGO; 
16h39m25s;START AWB ALGO; 
16h39m25s;END AWB ALGO; 
16h39m35s;START AWB ALGO; 
16h39m36s;END AWB ALGO; 
16h39m46s;START AWB ALGO; 
16h39m47s;END AWB ALGO; 
16h39m57s;START AWB ALGO; 
16h39m58s;END AWB ALGO; 
16h40m07s;START AWB ALGO; 
16h40m08s;END AWB ALGO; 
16h40m11s; SORTIE BOUTON
16h40m11s;END MOTEUR; 
16h40m12s;END ENCODER;0008.h264
16h40m12s;START CONVERSION;0008.h264
16h40m13s;END CONVERSION;0008.mp4
