HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
11h17m03s;;;1545.7;18.0;143;594;469;;;;75.45;0.0;3511671585000;8251;1.0;1.0;643.4;7.9;1.4;0.0;3511669388000;7880;1.0;1.0;654.8;7.9;1.4;0.0
11h17m05s;;;1545.9;18.0;141;593;469;;;;79.85;1.0;3512713084000;8251;1.0;1.0;643.5;7.9;1.4;0.0;3512710881000;7880;1.0;1.0;655.1;7.9;1.4;0.0
11h17m06s;;;1546.0;18.0;143;592;469;;;;80.40;2.1;3513754581000;8251;1.0;1.0;644.1;7.9;1.4;0.0;3513752372000;7880;1.0;1.0;655.4;7.9;1.4;0.0
11h17m07s;;;1546.3;18.0;145;590;473;;;;79.30;3.1;3514796078000;8251;1.0;1.0;644.5;7.9;1.4;0.0;3514793861000;7880;1.0;1.0;655.9;7.9;1.4;0.0
11h17m08s;;;1545.6;18.0;141;591;476;;;;80.95;4.2;3515837577000;8251;1.0;1.0;644.7;7.9;1.4;0.0;3515835355000;7880;1.0;1.0;656.1;7.9;1.4;0.0
11h17m11s;;;1546.0;18.0;141;597;475;;;;79.85;5.3;3516670774000;8251;1.0;1.0;645.2;7.9;1.4;0.0;3516835184000;7880;1.0;1.0;656.9;7.9;1.4;0.0
11h17m12s;;;1545.7;18.0;144;592;476;;;;81.50;8.3;3520003565000;8251;1.0;1.0;647.5;7.9;1.4;0.0;3520001318000;7806;1.0;1.0;659.1;7.9;1.4;0.0
11h17m13s;;;1546.0;18.0;145;592;476;;;;82.60;9.4;3521045064000;8177;1.0;1.0;648.1;7.9;1.4;0.0;3521042812000;7806;1.0;1.0;659.4;7.9;1.4;0.0
11h17m14s;;;1546.2;18.0;146;590;476;;;;82.60;10.4;3522128222000;8177;1.0;1.0;649.0;7.9;1.4;0.0;3522125962000;7806;1.0;1.0;660.3;7.9;1.4;0.0
11h17m15s;;;1545.8;18.0;142;591;485;;;;81.50;11.5;3523169720000;8177;1.0;1.0;650.1;7.9;1.4;0.0;3523167453000;7806;1.0;1.0;661.2;7.9;1.4;0.0
11h17m15s;;;1545.8;18.0;142;591;480;;;;82.60;11.6;3523294701000;8177;1.0;1.0;649.7;7.9;1.4;0.0;3523292442000;7806;1.0;1.0;661.4;7.9;1.4;0.0
11h17m16s;;;1545.9;18.0;144;593;475;;;;83.70;12.7;3524336208000;8177;1.0;1.0;649.6;7.9;1.4;0.0;3524333954000;7806;1.0;1.0;662.4;7.9;1.4;0.0
11h17m17s;;;1545.6;18.0;143;599;477;;;;83.70;13.7;3525419355000;8177;1.0;1.0;650.2;7.9;1.4;0.0;3525417076000;7806;1.0;1.0;663.1;7.9;1.4;0.0
11h17m18s;;;1545.7;18.0;144;593;480;;;;82.60;14.8;3526460853000;8177;1.0;1.0;651.5;7.9;1.4;0.0;3526458567000;7806;1.0;1.0;664.0;7.9;1.4;0.0
11h17m19s;;;1545.9;18.0;147;592;479;;;;84.25;15.8;3527502351000;8177;1.0;1.0;652.5;7.9;1.4;0.0;3527500059000;7732;1.0;1.0;665.2;7.9;1.4;0.0
11h17m20s;;;1546.1;18.0;144;610;479;;;;83.70;16.9;3528543850000;8177;1.0;1.0;653.4;7.9;1.4;0.0;3528541549000;7732;1.0;1.0;666.3;7.9;1.4;0.0
11h17m21s;;;1545.5;18.0;144;595;480;;;;83.70;17.9;3529585348000;8177;1.0;1.0;654.1;7.9;1.4;0.0;3529583043000;7732;1.0;1.0;667.4;7.9;1.4;0.0
11h17m22s;;;1545.7;18.0;143;609;483;;;;84.25;19.0;3530626845000;8088;1.0;1.0;655.2;7.9;1.4;0.0;3530666192000;7732;1.0;1.0;668.3;7.9;1.4;0.0
11h17m23s;;;1545.3;18.0;147;605;482;;;;83.70;20.0;3531710004000;8088;1.0;1.0;656.2;7.9;1.4;0.0;3531707685000;7732;1.0;1.0;669.4;7.9;1.4;0.0
11h17m25s;;;1545.9;18.0;145;609;482;;;;83.15;21.1;3532751502000;8088;1.0;1.0;657.1;7.9;1.4;0.0;3532749179000;7732;1.0;1.0;670.0;7.9;1.4;0.0
11h17m25s;;;1545.5;18.0;145;609;486;;;;83.70;21.2;3532876484000;8088;1.0;1.0;657.3;7.9;1.4;0.0;3532915815000;7732;1.0;1.0;670.7;7.9;1.4;0.0
11h17m26s;;;1545.6;18.0;147;602;483;;;;84.80;22.3;3533959639000;8088;1.0;1.0;658.2;7.9;1.4;0.0;3533957310000;7732;1.0;1.0;671.3;7.9;1.4;0.0
11h17m27s;;;1545.8;18.0;145;598;484;;;;83.70;23.3;3535001140000;8088;1.0;1.0;659.7;7.9;1.4;0.0;3534998800000;7732;1.0;1.0;672.6;7.9;1.4;0.0
11h17m28s;;;1546.2;18.0;145;608;484;;;;83.15;24.4;3536042636000;8014;1.0;1.0;662.6;7.9;1.4;0.0;3536040294000;7673;1.0;1.0;674.0;7.9;1.4;0.0
11h17m29s;;;1545.9;18.0;148;612;490;;;;82.05;25.4;3537084136000;8014;1.0;1.0;664.7;7.9;1.4;0.0;3537081789000;7673;1.0;1.0;676.3;7.9;1.4;0.0
11h17m30s;;;1545.9;18.0;154;607;487;;;;82.60;26.5;3538125633000;8014;1.0;1.0;666.8;7.9;1.4;0.0;3538123276000;7599;1.0;1.0;678.4;7.9;1.4;0.0
11h17m31s;;;1545.9;18.0;147;614;490;;;;84.80;27.5;3539167133000;7940;1.0;1.0;669.4;7.9;1.4;0.0;3539206427000;7599;1.0;1.0;681.1;7.9;1.4;0.0
11h17m32s;;;1546.0;18.0;149;611;493;;;;84.25;28.6;3540250291000;7940;1.0;1.0;671.8;7.9;1.4;0.0;3540247923000;7599;1.0;1.0;683.5;7.9;1.4;0.0
11h17m33s;;;1546.0;18.0;147;614;496;;;;83.15;29.6;3541291790000;7940;1.0;1.0;673.8;7.9;1.4;0.0;3541289414000;7525;1.0;1.0;685.8;7.9;1.4;0.0
11h17m34s;;;1546.1;18.0;149;615;493;;;;84.25;30.7;3542333287000;7866;1.0;1.0;676.3;7.9;1.4;0.0;3542330906000;7525;1.0;1.0;688.3;7.9;1.4;0.0
11h17m34s;;;1545.8;18.0;149;615;493;;;;82.05;30.8;3542499928000;7866;1.0;1.0;676.8;7.9;1.4;0.0;3542497547000;7525;1.0;1.0;688.6;7.9;1.4;0.0
11h17m35s;;;1545.9;18.0;148;620;496;;;;83.15;31.9;3543541427000;7866;1.0;1.0;679.8;7.9;1.4;0.0;3543539039000;7466;1.0;1.0;691.5;7.9;1.4;0.0
11h17m39s;;;1545.9;18.0;149;620;501;;;;82.05;32.9;3543791386000;7792;1.0;1.0;680.6;7.9;1.4;0.0;3547413392000;7466;1.0;1.0;703.8;7.9;1.4;0.0
11h17m40s;;;1545.6;18.0;152;643;513;;;;84.25;36.8;3548498961000;7629;1.0;1.0;694.8;7.9;1.4;0.0;3548496541000;7303;1.0;1.0;707.1;7.9;1.4;0.0
11h17m41s;;;1545.8;18.0;155;636;510;;;;83.70;37.9;3549540458000;7629;1.0;1.0;698.9;7.9;1.4;0.0;3549579690000;7303;1.0;1.0;711.1;7.9;1.4;0.0
11h17m42s;;;1545.9;18.0;155;638;514;;;;83.70;38.9;3550623634000;7569;1.0;1.0;703.2;7.9;1.4;0.0;3550621184000;7243;1.0;1.0;715.4;7.9;1.4;0.0
11h17m43s;;;1546.0;18.0;155;650;519;;;;84.80;40.0;3551665116000;7569;1.0;1.0;707.1;7.9;1.4;0.0;3551662674000;7243;1.0;1.0;719.8;7.9;1.4;0.0
11h17m44s;;;1545.9;18.0;161;653;520;;;;85.35;41.0;3552706615000;7495;1.0;1.0;711.2;7.9;1.4;0.0;3552704169000;7169;1.0;1.0;724.1;7.9;1.4;0.0
11h17m46s;;;1545.6;18.0;157;653;524;;;;84.25;42.1;3553748112000;7436;1.0;1.0;715.7;7.9;1.4;0.0;3553745659000;7110;1.0;1.0;728.4;7.9;1.4;0.0
11h17m47s;;;1545.5;18.0;158;657;525;;;;83.70;43.1;3554789612000;7436;1.0;1.0;720.0;7.9;1.4;0.0;3554787154000;7110;1.0;1.0;732.8;7.9;1.4;0.0
