Heure;Event;Fichier
10h21m16s;START ENCODER;0042.h264
10h21m25s;START AWB ALGO; 
10h21m26s;END AWB ALGO; 
10h21m36s;START AWB ALGO; 
10h21m36s;END AWB ALGO; 
10h21m45s;START AWB ALGO; 
10h21m45s;END AWB ALGO; 
10h22m04s;START AWB ALGO; 
10h22m04s;END AWB ALGO; 
10h22m14s;START AWB ALGO; 
10h22m19s;END AWB ALGO; 
10h22m28s;START AWB ALGO; 
10h22m29s;END AWB ALGO; 
10h22m38s;START AWB ALGO; 
10h22m38s;END AWB ALGO; 
10h22m48s;START AWB ALGO; 
10h22m48s;END AWB ALGO; 
10h22m57s;START AWB ALGO; 
10h22m57s;END AWB ALGO; 
10h23m07s;START AWB ALGO; 
10h23m07s;END AWB ALGO; 
10h23m17s;START AWB ALGO; 
10h23m17s;END AWB ALGO; 
10h23m26s;START AWB ALGO; 
10h23m26s;END AWB ALGO; 
10h23m36s;START AWB ALGO; 
10h23m36s;END AWB ALGO; 
10h23m45s;START AWB ALGO; 
10h23m45s;END AWB ALGO; 
10h23m55s;START AWB ALGO; 
10h23m55s;END AWB ALGO; 
10h24m04s;START AWB ALGO; 
10h24m04s;END AWB ALGO; 
10h24m14s;START AWB ALGO; 
10h24m14s;END AWB ALGO; 
10h24m23s;START AWB ALGO; 
10h24m24s;END AWB ALGO; 
10h24m33s;START AWB ALGO; 
10h24m33s;END AWB ALGO; 
10h24m43s;START AWB ALGO; 
10h24m43s;END AWB ALGO; 
10h24m52s;START AWB ALGO; 
10h24m52s;END AWB ALGO; 
10h25m02s;START AWB ALGO; 
10h25m02s;END AWB ALGO; 
10h25m11s;START AWB ALGO; 
10h25m11s;END AWB ALGO; 
10h25m21s;START AWB ALGO; 
10h25m21s;END AWB ALGO; 
10h25m30s;START AWB ALGO; 
10h25m31s;END AWB ALGO; 
10h25m40s;START AWB ALGO; 
10h25m40s;END AWB ALGO; 
10h25m50s;START AWB ALGO; 
10h25m50s;END AWB ALGO; 
10h25m59s;START AWB ALGO; 
10h25m59s;END AWB ALGO; 
10h26m09s;START AWB ALGO; 
10h26m09s;END AWB ALGO; 
10h26m18s;START AWB ALGO; 
10h26m18s;END AWB ALGO; 
10h26m28s;START AWB ALGO; 
10h26m28s;END AWB ALGO; 
10h26m37s;START AWB ALGO; 
10h26m37s;END AWB ALGO; 
10h26m47s;START AWB ALGO; 
10h26m47s;END AWB ALGO; 
10h26m56s;START AWB ALGO; 
10h26m56s;END AWB ALGO; 
10h27m06s;START AWB ALGO; 
10h27m06s;END AWB ALGO; 
10h27m16s;START AWB ALGO; 
10h27m16s;END AWB ALGO; 
10h27m25s;START AWB ALGO; 
10h27m25s;END AWB ALGO; 
10h27m35s;START AWB ALGO; 
10h27m35s;END AWB ALGO; 
10h27m44s;START AWB ALGO; 
10h27m44s;END AWB ALGO; 
10h27m54s;START AWB ALGO; 
10h27m54s;END AWB ALGO; 
10h28m03s;START AWB ALGO; 
10h28m03s;END AWB ALGO; 
10h28m13s;START AWB ALGO; 
10h28m13s;END AWB ALGO; 
10h28m22s;START AWB ALGO; 
10h28m23s;END AWB ALGO; 
10h28m32s;START AWB ALGO; 
10h28m32s;END AWB ALGO; 
10h28m42s;START AWB ALGO; 
10h28m42s;END AWB ALGO; 
10h28m51s;START AWB ALGO; 
10h28m51s;END AWB ALGO; 
10h29m01s;START AWB ALGO; 
10h29m01s;END AWB ALGO; 
10h29m10s;START AWB ALGO; 
10h29m10s;END AWB ALGO; 
10h29m20s;START AWB ALGO; 
10h29m20s;END AWB ALGO; 
10h29m30s;START AWB ALGO; 
10h29m30s;END AWB ALGO; 
10h29m40s;START AWB ALGO; 
10h29m40s;END AWB ALGO; 
10h29m50s;START AWB ALGO; 
10h29m50s;END AWB ALGO; 
10h29m59s;START AWB ALGO; 
10h29m59s;END AWB ALGO; 
10h30m09s;START AWB ALGO; 
10h30m09s;END AWB ALGO; 
10h30m18s;START AWB ALGO; 
10h30m21s;END AWB ALGO; 
10h30m30s;START AWB ALGO; 
10h30m32s;END AWB ALGO; 
10h30m42s;START AWB ALGO; 
10h30m47s;END AWB ALGO; 
10h30m57s;START AWB ALGO; 
10h30m58s;END AWB ALGO; 
10h31m07s;START AWB ALGO; 
10h31m07s;END AWB ALGO; 
10h31m15s; SORTIE BOUTON
10h31m16s;END ENCODER;0042.h264
10h31m16s;START CONVERSION;0042.h264
10h31m21s;END CONVERSION;0042.mp4
