HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
16h06m25s;48.41925;-4.46935;1002.1;20.0;1682;2772;1843;;;;67.20;0.0;4898759844000;977;1.0;1.0;3451.2;1.4;1.6;0.0;4898750810000;932;1.0;1.0;3741.6;1.4;1.6;0.0
16h06m26s;48.41925;-4.46935;1002.3;20.0;1625;2666;1752;;;;68.30;1.1;4899801337000;992;1.0;1.0;3354.3;1.4;1.6;0.0;4899792298000;932;1.0;1.0;3647.9;1.4;1.6;0.0
16h06m27s;48.41925;-4.46936;1002.0;20.0;1574;2562;1702;;;;71.05;2.1;4900842836000;1036;1.0;1.0;3257.9;1.4;1.6;0.0;4900833791000;962;1.0;1.0;3537.8;1.4;1.6;0.0
16h06m28s;48.41925;-4.46937;1002.3;20.0;1547;2536;1682;;;;71.60;3.2;4901884329000;1066;1.0;1.0;3192.3;1.4;1.6;0.0;4901916940000;992;1.0;1.0;3458.6;1.4;1.6;0.0
16h06m29s;48.41925;-4.46938;1002.3;20.0;1552;2545;1691;;;;73.25;4.2;4902967485000;1066;1.0;1.0;3197.6;1.4;1.6;0.0;4902958430000;992;1.0;1.0;3468.0;1.4;1.6;0.0
16h06m30s;48.41926;-4.46939;1002.1;20.0;1560;2557;1697;;;;72.70;5.3;4904008983000;1066;1.0;1.0;3236.9;1.4;1.6;0.0;4903999925000;992;1.0;1.0;3501.0;1.4;1.6;0.0
16h06m31s;48.41926;-4.46939;1002.4;20.0;1559;2558;1698;;;;74.35;6.3;4905050477000;1066;1.0;1.0;3247.4;1.4;1.6;0.0;4905041439000;992;1.0;1.0;3515.5;1.4;1.6;0.0
16h06m32s;48.41925;-4.46938;1002.3;20.0;1546;2540;1689;;;;74.35;7.4;4906091971000;1066;1.0;1.0;3225.9;1.4;1.6;0.0;4906082902000;992;1.0;1.0;3491.6;1.4;1.6;0.0
16h06m33s;48.41925;-4.46938;1002.5;20.0;1500;2480;1647;;;;75.45;8.4;4907133467000;1066;1.0;1.0;3195.0;1.4;1.6;0.0;4907124391000;992;1.0;1.0;3459.8;1.4;1.6;0.0
16h06m34s;48.41925;-4.46938;1002.1;20.0;1559;2468;1858;;;;77.10;9.4;4908174962000;1066;1.0;1.0;5000.6;1.4;1.6;0.0;4908165883000;992;1.0;1.0;5262.5;1.4;1.6;0.0
16h06m35s;48.41925;-4.46938;1002.0;20.0;2968;3560;2254;;;;77.65;10.5;4909216459000;488;1.0;1.0;4974.4;1.0;1.8;0.0;4909207374000;443;1.0;1.0;5328.0;1.0;1.8;0.0
16h06m36s;48.41925;-4.46938;1002.0;20.0;2046;3229;2081;;;;75.45;11.5;4910257955000;606;1.0;1.0;4230.2;1.0;1.8;0.0;4910248866000;547;1.0;1.0;4760.4;1.0;1.8;0.0
16h06m37s;48.41925;-4.46937;1014.1;20.0;307;1339;1145;;;;76.55;12.6;4911299451000;3925;1.0;1.0;890.6;1.0;1.8;0.0;4911290358000;3969;1.0;1.0;928.2;1.0;1.8;0.0
16h06m38s;48.41925;-4.46937;1032.6;19.9;292;1236;1187;;;;77.65;13.6;4912340947000;5495;1.0;1.0;944.8;1.0;1.8;0.0;4912331848000;5332;1.0;1.0;977.8;1.0;1.8;0.0
